shelter_name,shelter_location,is_indoor,capacity,nearest_aqi_station,nearest_aqi_county,nearest_aqi,nearest_aqi_level,distance_to_station_m,risk_label,disaster_types,shelter_lat,shelter_lon
合作國小,臺中市豐原區,True,100,台中,台中市,45,良好,13789.589821078302,Safe,"水災,震災",24.2131,120.5581
潭北社區活動中心,臺中市潭子區,True,63,台中,台中市,45,良好,8205.832447656308,Safe,水災,24.2141,120.7089
山腳社區活動中心,臺中市龍井區,True,30,台中,台中市,45,良好,14616.034941020509,Safe,"水災,海嘯",24.214287,120.549368
東寶國小-綜合教室,臺中市潭子區,True,110,台中,台中市,45,良好,7485.860904233473,Safe,"水災,震災",24.214805,120.67952
忠和社區活動中心,臺中市龍井區,True,35,台中,台中市,45,良好,16908.739575632746,Safe,"水災,震災,海嘯",24.21486,120.524048
新田社區活動中心,臺中市潭子區,True,150,台中,台中市,45,良好,9016.541818740905,Safe,"水災,震災",24.214974,120.723225
潭秀社區活動中心,臺中市潭子區,True,100,台中,台中市,45,良好,8118.32944010981,Safe,"水災,震災",24.215286,120.703871
潭子國小-圖書室,臺中市潭子區,True,150,台中,台中市,45,良好,8238.768754409823,Safe,"水災,震災,土石流",24.215893,120.705361
龍海國小操場,臺中市龍井區,True,100,台中,台中市,45,良好,16724.78764383719,Safe,"震災,海嘯",24.215956,120.526677
臺中市立大華國中地下室,臺中市大雅區,True,560,台中,台中市,45,良好,7985.860384282759,Safe,"水災,震災,土石流",24.2161,120.6496
臺中市大雅區西寶社區活動中心,臺中市大雅區,True,60,台中,台中市,45,良好,7626.91648654272,Safe,"水災,震災,土石流",24.2161,120.668
潭秀國中-體育館,臺中市潭子區,True,220,台中,台中市,45,良好,8055.004334160681,Safe,"水災,震災",24.216172,120.699522
臺中市北勢國小禮堂,臺中市沙鹿區,True,124,台中,台中市,45,良好,12900.422346838624,Safe,"水災,震災,土石流,海嘯",24.216935,120.571552
南勢社區活動中心,臺中市沙鹿區,True,50,台中,台中市,45,良好,13236.96343197288,Safe,"水災,震災,土石流,海嘯",24.217386,120.567801
南陽國小,臺中市豐原區,True,300,台中,台中市,45,良好,13331.23028335727,Safe,"水災,震災",24.2187,120.5677
臺中市東勢區上城社區活動中心,臺中市東勢區,True,46,台中,台中市,45,良好,18638.819620812566,Safe,"水災,震災,土石流",24.2188,120.84
馬力埔社區活動中心,臺中市新社區,True,50,台中,台中市,45,良好,14413.536770043293,Safe,"水災,震災,土石流",24.218895,120.792343
臺中市大雅區文雅國小地下室,臺中市大雅區,True,1700,台中,台中市,45,良好,8457.084221279689,Safe,"水災,震災,土石流",24.2195,120.6461
臺中市大雅區三和國小體育館,臺中市大雅區,True,1464,台中,台中市,45,良好,8058.725113420458,Safe,"水災,震災,土石流",24.2199,120.6667
臺中市東勢區下城社區活動中心,臺中市東勢區,True,50,台中,台中市,45,良好,18389.924283744363,Safe,"水災,震災,土石流",24.219995,120.836657
